MEMBER,PARTY,DISTRICT,TRUMP SCORE,TRUMP MARGIN,PREDICTED SCORE,TRUMP PLUS-MINUS
Veronica Escobar,D,TX-16,4.20%,-40.7,4.60%,-0.4
Russ Fulcher,R,ID-1,95.80%,38.3,96.30%,-0.5
Greg Walden,R,OR-2,90.50%,20.1,91.00%,-0.5
Bruce Westerman,R,AR-4,94.60%,32.9,95.20%,-0.5
Karen Bass,D,CA-37,9.00%,-76.1,9.60%,-0.6
James Comer,R,KY-1,95.20%,48.5,95.80%,-0.6
Blake Farenthold*,R,TX-27,92.90%,23.6,93.50%,-0.7
Jim Banks,R,IN-3,94.60%,35,95.40%,-0.7
Jared Huffman,D,CA-2,11.10%,-45.7,11.80%,-0.7
Donna Shalala,D,FL-27,5.60%,-19.6,6.30%,-0.7
Adriano Espaillat,D,NY-13,8.30%,-86.9,9.10%,-0.8
Steve King,R,IA-4,93.30%,27.4,94.10%,-0.8
Doris O. Matsui,D,CA-6,12.00%,-44.8,12.80%,-0.8
Joyce Beatty,D,OH-3,13.10%,-38.4,13.90%,-0.8
Earl Blumenauer,D,OR-3,11.70%,-48.2,12.70%,-0.9
Trent Franks*,R,AZ-8,92.90%,21.1,93.80%,-1
Jesus “Chuy” Garcia,D,IL-4,2.80%,-68.9,3.80%,-1
William Lacy Clay Jr.,D,MO-1,10.40%,-58.2,11.40%,-1
Luke Messer*,R,IN-6,94.60%,40.3,95.60%,-1.1
James E. Clyburn,D,SC-6,13.90%,-36.5,15.00%,-1.1
David McKinley,R,WV-1,94.60%,41.6,95.70%,-1.1
Michael Cloud,R,TX-27,91.60%,23.6,92.70%,-1.1
Sanford D. Bishop Jr.,D,GA-2,28.20%,-11.7,29.40%,-1.2
Adrian Smith,R,NE-3,94.50%,54.9,95.80%,-1.2
Alcee L. Hastings,D,FL-20,9.60%,-62.1,10.90%,-1.3
Joseph D. Morelle,D,NY-25,8.20%,-16.4,9.60%,-1.4
Debra A. Haaland,D,NM-1,5.60%,-16.5,7.00%,-1.4
Juan Vargas,D,CA-51,10.90%,-49,12.30%,-1.4
Debbie Mucarsel-Powell,D,FL-26,5.60%,-16.3,7.00%,-1.5
Mary Gay Scanlon,D,PA-5,6.70%,-28.2,8.10%,-1.5
Jim Bridenstine*,R,OK-1,94.20%,28.7,95.70%,-1.5
Robin Kelly,D,IL-2,9.60%,-58.9,11.10%,-1.5
John B. Larson,D,CT-1,17.30%,-23.1,18.80%,-1.5
Bobby L. Rush,D,IL-1,10.70%,-54,12.30%,-1.6
Brendan Boyle,D,PA-2,13.30%,-48,14.80%,-1.6
Markwayne Mullin,R,OK-2,94.30%,50.1,95.90%,-1.6
Kelly Armstrong,R,ND-AL,94.30%,35.7,95.90%,-1.6
Eliot Engel,D,NY-16,10.30%,-52.6,11.90%,-1.6
Lori Trahan,D,MA-3,4.20%,-22.8,5.80%,-1.7
Diana DeGette,D,CO-1,9.30%,-45.8,10.90%,-1.7
Scott DesJarlais,R,TN-4,93.90%,41.2,95.60%,-1.7
TJ Cox,D,CA-21,5.60%,-15.5,7.30%,-1.7
Linda Sánchez,D,CA-38,11.80%,-39.6,13.50%,-1.7
John Lewis,D,GA-5,8.50%,-73.1,10.20%,-1.7
Robert C. Scott,D,VA-3,13.80%,-31.7,15.50%,-1.8
David Trone,D,MD-6,5.60%,-15.1,7.40%,-1.8
Jason Smith,R,MO-8,93.90%,54.4,95.80%,-1.9
Joe Neguse,D,CO-2,4.20%,-21.3,6.00%,-1.9
Alma Adams,D,NC-12,11.70%,-40,13.50%,-1.9
Adam Smith,D,WA-9,10.60%,-47.2,12.40%,-1.9
Val Demings,D,FL-10,15.50%,-26.9,17.40%,-1.9
Jody Hice,R,GA-10,92.10%,25.5,94.00%,-1.9
Grace Meng,D,NY-6,12.80%,-33,14.80%,-2
Mark E. Green,R,TN-7,94.20%,39.3,96.30%,-2.1
Barry Loudermilk,R,GA-11,91.60%,25,93.70%,-2.1
Barbara Lee,D,CA-13,7.20%,-80.6,9.30%,-2.1
Billy Long,R,MO-7,93.70%,45.7,95.90%,-2.2
Filemon Vela,D,TX-34,16.60%,-21.5,18.80%,-2.2
Madeleine Dean,D,PA-4,4.20%,-19.3,6.40%,-2.2
Bill Pascrell Jr.,D,NJ-9,13.40%,-31.2,15.60%,-2.2
Andy Harris,R,MD-1,92.20%,28.6,94.40%,-2.3
Katherine Clark,D,MA-5,11.20%,-43.6,13.40%,-2.3
Steny H. Hoyer,D,MD-5,13.20%,-32,15.40%,-2.3
Diane Black*,R,TN-6,93.60%,48.9,95.90%,-2.3
Tom Emmer,R,MN-6,91.40%,25.7,93.70%,-2.3
Pete Aguilar,D,CA-31,18.30%,-21.1,20.60%,-2.4
Gary Palmer,R,AL-6,94.00%,44.7,96.30%,-2.4
Kristi L. Noem*,R,SD-AL,92.20%,29.8,94.60%,-2.4
Pramila Jayapal,D,WA-7,7.80%,-69.9,10.20%,-2.4
Bill Posey,R,FL-8,89.10%,20.7,91.50%,-2.4
Yvette D. Clarke,D,NY-9,7.80%,-69.1,10.20%,-2.5
Maxine Waters,D,CA-43,8.40%,-61.7,10.90%,-2.5
Raja Krishnamoorthi,D,IL-8,17.40%,-21.7,19.90%,-2.6
Stephanie Murphy,D,FL-7,32.90%,-7.3,35.50%,-2.6
Nydia M. Velázquez,D,NY-7,7.30%,-76.5,9.90%,-2.6
John P. Sarbanes,D,MD-3,13.20%,-30.5,15.90%,-2.7
Jeff Duncan,R,SC-3,92.70%,38,95.60%,-2.9
Daniel Webster,R,FL-11,92.40%,32.3,95.60%,-3.2
Bill Foster,D,IL-11,15.70%,-23.5,18.90%,-3.2
Judy Chu,D,CA-27,10.80%,-37.6,14.10%,-3.3
David Cicilline,D,RI-1,14.50%,-25.6,17.90%,-3.5
Gwen Moore,D,WI-4,8.00%,-52.2,11.50%,-3.5
Joaquin Castro,D,TX-20,13.30%,-26.7,16.80%,-3.5
Luis V. Gutiérrez*,D,IL-4,11.50%,-68.9,15.00%,-3.5
John Ratcliffe,R,TX-4,92.50%,53.6,96.20%,-3.7
Lloyd Doggett,D,TX-35,11.40%,-33.6,15.10%,-3.8
Mark Meadows,R,NC-11,91.30%,29.2,95.10%,-3.9
Grace Napolitano,D,CA-32,10.50%,-38.9,14.40%,-3.9
F. James Sensenbrenner,R,WI-5,87.40%,20.1,91.30%,-3.9
Jennifer Wexton,D,VA-10,5.60%,-10,9.60%,-4.1
John K. Delaney*,D,MD-6,34.40%,-15.1,38.50%,-4.1
Marcy Kaptur,D,OH-9,15.20%,-22.2,19.30%,-4.2
Francis Rooney,R,FL-19,88.90%,22.1,93.10%,-4.2
Garret Graves,R,LA-6,91.00%,33.8,95.30%,-4.3
Keith J. Rothfus*,R,PA-12,88.50%,20.8,92.80%,-4.3
Mark Takano,D,CA-41,12.70%,-27.9,17.00%,-4.3
Debbie Wasserman Schultz,D,FL-23,12.70%,-26.1,17.00%,-4.3
Debbie Dingell,D,MI-12,13.30%,-26.3,17.60%,-4.3
Jan Schakowsky,D,IL-9,8.30%,-45.2,12.70%,-4.3
Bennie G. Thompson,D,MS-2,12.60%,-28.5,17.00%,-4.4
Betty McCollum,D,MN-4,11.40%,-30.9,15.80%,-4.4
Dean Phillips,D,MN-3,5.60%,-9.4,10.00%,-4.5
Todd Rokita*,R,IN-4,90.30%,34.1,94.80%,-4.5
Chrissy Houlahan,D,PA-6,5.60%,-9.3,10.10%,-4.5
Dusty Johnson,R,SD-AL,90.30%,29.8,94.80%,-4.6
Mark Pocan,D,WI-2,9.50%,-36.8,14.20%,-4.7
Mark DeSaulnier,D,CA-11,6.70%,-48.8,11.50%,-4.8
Jason Crow,D,CO-6,5.60%,-8.9,10.40%,-4.8
Alan Lowenthal,D,CA-47,10.40%,-31.6,15.20%,-4.9
Peter Welch,D,VT-AL,12.70%,-26.4,17.60%,-4.9
Gil Cisneros,D,CA-39,5.60%,-8.6,10.60%,-5.1
Dina Titus,D,NV-1,10.40%,-29,15.70%,-5.3
Rick Larsen,D,WA-2,14.50%,-22.1,19.80%,-5.3
Morgan Griffith,R,VA-9,90.20%,41.5,95.60%,-5.4
Donald Norcross,D,NJ-1,12.80%,-24.5,18.20%,-5.4
Ami Bera,D,CA-7,24.40%,-11.4,29.90%,-5.5
Mo Brooks,R,AL-5,89.60%,33.4,95.10%,-5.5
Ken Buck,R,CO-4,87.10%,23.1,92.70%,-5.5
Warren Davidson,R,OH-8,89.60%,34.5,95.20%,-5.6
Jamie Raskin,D,MD-8,9.00%,-34.4,14.80%,-5.8
Keith Ellison*,D,MN-5,9.90%,-55.2,15.70%,-5.8
Elise Stefanik,R,NY-21,78.00%,13.9,83.90%,-5.9
Suzanne Bonamici,D,OR-1,13.20%,-22.8,19.30%,-6.1
Katie Hill*,D,CA-25,3.90%,-6.7,10.20%,-6.3
A. Donald McEachin,D,VA-4,15.50%,-21.6,21.80%,-6.3
Sean Casten,D,IL-6,5.60%,-7,12.10%,-6.5
Thomas A. Garrett Jr.*,R,VA-5,80.00%,11.1,86.50%,-6.5
André Carson,D,IN-7,12.40%,-22.8,19.00%,-6.6
Jim Jordan,R,OH-4,88.60%,33.6,95.20%,-6.6
Richard E. Neal,D,MA-1,14.00%,-20.7,20.70%,-6.7
